release_url	language	code	original_text
http://id.who.int/icd/release/11/2026-01/mms	cs	6A20.1	Diagnóza opakovaných epizod schizofrenie by měla být použita pro jedince, u nichž jsou přítomny příznaky, které splňují diagnostická kritéria pro schizofrenii (včetně délky trvání) a u kterých se také v minulosti vyskytly epizody splňující diagnostická kritéria a mezi epizodami u nich došlo k výrazné remisi symptomů. V době remise mohou přetrvávat některé oslabené příznaky, k remisi mohlo dojít jako odpověď na medikaci nebo jinou léčbu.
http://id.who.int/icd/release/11/2026-01/mms	cs	6A20.2	Příznaky splňující všechna diagnostická kritéria pro schizofrenii jsou přítomny téměř v celém průběhu onemocnění po dobu alespoň jednoho roku, přičemž období podprahových příznaků jsou ve srovnání s celkovým průběhem velmi krátká.
http://id.who.int/icd/release/11/2026-01/mms	tr	6A20	Şizofreni, düşünce (örneğin sanrılar, düşünce yapısında dezorganizasyon), algı (örneğin, varsanılar), kendilik-yaşantısı (örneğin, kişinin duygularının, dürtülerinin, düşüncelerinin veya davranışının bir dış güç tarafından kontrol edilmesi) , biliş (örneğin, dikkat, sözel bellek ve sosyal bilişte bozulma), istenç (örneğin, motivasyon kaybı), duygulanım (örneğin, duygusal ifadede küntleşme) ve davranış (örneğin, bizar davranış veya davranışın organizasyonunu etkileyen amaçsız, beklenmedik veya uygunsuz duygusal yanıtlar) gibi çok sayıda ruhsal alanda görülen bozukluklar ile karakterizedir. Katatoni dahil psikomotor bozukluklar bulunabilir. Israrlı sanrılar, ısrarlı varsanılar, düşünce bozuklukları ve etkilenme, edilgenlik veya kontrol edilme yaşantıları çekirdek belirtiler arasında kabul edilmektedir. Şizofreni tanısının konulabilmesi için belirtilerin en az bir ay sürmesi gereklidir. Belirtiler diğer bir sağlık sorununa (örneğin, beyin tümörü) ve yoksunluk dahil (örneğin, alkol yoksunluğu) merkezi sinir sitemi üzerinde etkili bir madde veya ilacın (örneğin, kortikosteroidler) etkisine bağlı değildir.
http://id.who.int/icd/release/11/2026-01/mms	tr	6A20.0	Şizofreni, ilk dönem tanısı, şizofreni tanı ölçütlerini karşılayan (süre dahil) belirtiler yaşayan, ancak öncesinde şizofreni tanı ölçütlerini karşılayan herhangi bir dönemi olmayan kişileri tanımlamak için kullanılmalıdır.
http://id.who.int/icd/release/11/2026-01/mms	tr	6A20.1	Şizofreni, çok sayıda dönem tanısı, şizofreni tanı ölçütlerini karşılayan belirtiler yaşayan ve geçmişte de tanı ölçütlerini karşılayan dönemleri olan ve dönemler arasında belirtilerin belirgin remisyona girdiği kişileri tanımlamak için kullanılmalıdır. Bazı hafif belirtiler remisyon dönemlerinde devam edebilir ve remisyon ilaç veya diğer tedaviler sayesinde sağlanmış olabilir.
http://id.who.int/icd/release/11/2026-01/mms	tr	6A20.2	Şizofreni tanı ölçütlerini karşılayan belirtiler, hastalığın neredeyse tüm seyrinde en az bir yıl süre ile mevcuttur. Eşik altı belirtilerin olduğu dönemler, tüm seyir dikkate alındığında çok kısadır.
http://id.who.int/icd/release/11/2026-01/mms	de	6A20	Schizophrenie ist durch Störungen in mehreren mentalen Modalitäten gekennzeichnet, einschließlich des Denkens (z. B. Wahnsymptome, Desorganisation in der Form des Denkens), der Wahrnehmung (z. B. Halluzinationen), des Selbsterlebens (z. B. das Erleben, dass die eigenen Gefühle, Impulse, Gedanken oder das Verhalten unter der Kontrolle einer externen Kraft stehen), der Kognition (z. B., Beeinträchtigung der Aufmerksamkeit, des verbalen Gedächtnisses und der sozialen Kognition), des Willens (z. B. Motivationsverlust), des Affekts (z. B. reduzierter Gefühlsausdruck) und des Verhaltens (z. B. Verhalten, das bizarr oder zwecklos erscheint, unvorhersehbare oder unangemessene emotionale Reaktionen, die die Organisation des Verhaltens stören). Psychomotorische Störungen, einschließlich Katatonie, können vorhanden sein. Anhaltende Wahnvorstellungen, anhaltende Halluzinationen, Denkstörungen und Beeinflussungserleben gelten als Kernsymptome. Die Symptome müssen mindestens einen Monat lang bestanden haben, damit die Diagnose Schizophrenie gestellt werden kann. Die Symptome sind nicht Ausdruck eines anderen Gesundheitszustands (z. B. eines Hirntumors) und sind nicht auf die Wirkung einer Substanz oder eines Medikaments auf das zentrale Nervensystem (z. B. Kortikosteroide) zurückzuführen, auch nicht auf einen Entzug (z. B. Alkoholentzug).
http://id.who.int/icd/release/11/2026-01/mms	de	6A20.0	Schizophrenie, erste Episode sollte verwendet werden, um Personen zu identifizieren, deren Symptome die diagnostischen Anforderungen für Schizophrenie (einschließlich Dauer) erfüllen, die aber noch nie eine Episode erlebt haben, in der die diagnostischen Anforderungen für Schizophrenie erfüllt wurden.
http://id.who.int/icd/release/11/2026-01/mms	de	6A20.1	Schizophrenie, mehrfache Episoden sollte verwendet werden, um Personen zu identifizieren, die Symptome aufweisen, die die diagnostischen Anforderungen für Schizophrenie erfüllen, und die auch schon früher Episoden erlebt haben, in denen die diagnostischen Anforderungen erfüllt waren, wobei die Symptome zwischen den Episoden deutlich zurückgegangen sind. Einige abgeschwächte Symptome können während der Remissionsphasen bestehen bleiben, und Remissionen können als Reaktion auf Medikamente oder andere Behandlungen eingetreten sein.
http://id.who.int/icd/release/11/2026-01/mms	de	6A20.2	Die Symptome, die alle definitorischen Anforderungen der Schizophrenie erfüllen, waren fast während des gesamten Krankheitsverlaufs über einen Zeitraum von mindestens einem Jahr vorhanden, wobei die Perioden mit unterschwelligen Symptomen im Vergleich zum Gesamtverlauf sehr kurz waren.
https://www.whofic.nl/sites/default/files/2024-11/20241128%20ICD-10-2021v3.1C.zip	nl	6A20	De schizofrene stoornissen worden in het algemeen gekarakteriseerd door fundamentele en kenmerkende verstoringen van denken en waarneming en door een inadequaat of vlak affect. Helder bewustzijn en intellectueel vermogen zijn doorgaans behouden, zij het dat bepaalde cognitieve tekortkomingen zich in de loop des tijds kunnen ontwikkelen. De belangrijkste psychopathologische verschijnselen omvatten 'Gedankenlautwerden'; gedachteninbrenging of -onttrekking; gedachtenuitzending; waanwaarneming en wanen omtrent het onder controle van derden staan; macht of passiviteit; gehallucineerde stemmen die de patiënt bekritiseren of over deze praten in de derde persoon; denkstoornissen en negatieve symptomen. Het beloop van schizofrene stoornissen kan ononderbroken zijn, episodisch met toenemend of stabiel functieverlies of er kunnen een of meer episoden zijn met volledige of gedeeltelijke remissie. De diagnose van schizofrenie dient niet gesteld te worden in de aanwezigheid van uitgebreide depressieve of manische symptomen, tenzij het duidelijk is dat schizofrene symptomen aan de affectieve stoornis voorafgingen. Ook dient schizofrenie niet gediagnosticeerd te worden in de aanwezigheid van een duidelijke hersenaandoening of tijdens toestanden van intoxicatie met drugs of van onthouding van drugs. Gelijkvormige stoornissen die ontstaan in de aanwezigheid van epilepsie of een andere hersenaandoening dienen geklasseerd te worden onder F06.2 en die welke teweeggebracht worden door psychoactieve middelen onder F10-F19 met gemeenschappelijk vierde teken .5. 
